country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,personal_income,business_expenses,business_turnover,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender
3,50.0,1,1,1,1,2,100.0,3600.0,7200.0,15.0,2,1,2,1,0,2,1,2,2,3,4,0,1,3,1,1,2,2,2,0,8.0,2,3,1,2,1
1,36.0,2,2,1,2,2,900.0,400.0,900.0,5.0,2,1,2,1,0,2,2,2,0,3,4,0,1,0,0,1,2,2,2,1,3.0,2,3,1,3,2
1,25.0,0,1,1,0,0,5250.0,350.0,1000.0,10.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,1,1,3,1,1,1,3.0,2,3,0,2,2
2,25.0,0,2,1,1,2,485000.0,10000.0,20000.0,4.0,2,1,1,1,1,2,1,2,0,2,4,0,1,2,0,1,2,2,2,1,3.0,2,3,1,1,1
1,47.0,1,2,1,0,0,97.0,500.0,2000.0,1.0,2,1,2,1,0,2,2,2,0,3,4,0,0,2,1,1,3,1,1,1,3.0,2,3,1,3,2
3,48.0,2,1,1,0,0,60.0,240.0,720.0,9.0,2,1,2,1,0,0,2,2,0,1,0,0,2,3,1,1,2,2,2,0,0.0,2,2,1,2,1
1,35.0,2,1,1,1,1,11000.0,21000.0,50000.0,6.0,1,1,2,1,0,2,2,2,0,3,4,0,1,3,1,1,3,3,3,1,3.0,2,3,1,3,2
2,49.0,1,1,1,2,2,130000.0,80000.0,175000.0,2.0,2,1,1,1,1,2,2,2,0,3,4,0,1,3,0,0,2,2,2,1,3.0,2,3,1,2,1
0,32.0,2,2,1,2,2,5500.0,500.0,1500.0,2.0,2,1,2,1,1,2,1,2,0,4,3,0,0,3,1,1,2,2,2,0,3.0,2,2,1,2,1
0,37.0,2,1,1,2,2,3500.0,1500.0,3500.0,5.0,2,2,0,1,0,2,2,2,0,4,3,0,1,3,1,1,2,2,2,0,2.0,2,3,1,2,1
0,38.0,2,1,3,1,2,1600.0,15000.0,19200.0,3.0,2,1,2,1,1,2,2,2,0,3,3,0,2,3,1,1,2,2,2,0,11.0,2,3,1,2,0
3,40.0,2,2,1,1,2,150.0,1560.0,240.0,6.0,2,1,2,1,0,2,2,2,2,3,3,0,1,3,1,1,2,2,2,0,6.0,2,3,1,2,1
3,33.0,2,1,1,1,0,1000.0,18000.0,36000.0,13.0,2,1,2,1,1,2,2,2,2,3,4,0,2,3,1,1,2,2,2,1,1.0,1,2,1,2,1
0,49.0,2,1,1,2,2,1500.0,2000.0,4500.0,0.0,2,2,2,1,0,2,2,2,0,4,4,0,0,3,1,1,1,2,2,0,9.0,2,2,1,4,1
3,31.0,2,1,1,0,0,6.0,720.0,960.0,0.0,2,1,2,1,0,2,2,2,0,1,0,0,1,3,1,1,2,2,2,0,5.0,2,3,1,2,1
0,35.0,2,1,1,2,2,2500.0,17000.0,30000.0,1.0,2,2,2,1,0,2,2,2,2,4,4,0,0,3,1,1,2,2,2,0,7.0,2,2,1,2,1
2,35.0,0,1,1,1,1,150000.0,100000.0,800000.0,14.0,2,1,1,1,1,2,2,2,1,2,4,0,1,0,1,0,2,2,2,1,3.0,2,3,0,2,1
0,43.0,2,1,1,1,2,1000.0,1100.0,1300.0,1.0,2,1,2,1,0,1,2,2,0,4,4,0,0,3,1,1,2,2,2,0,10.0,2,2,1,2,1
2,28.0,2,2,1,2,2,400000.0,80000.0,4800000.0,15.0,2,2,1,0,1,2,2,2,0,4,3,0,1,3,0,0,2,2,2,0,3.0,2,3,1,2,1
0,45.0,1,2,3,1,2,2000.0,4900.0,350.0,7.0,2,1,2,0,1,0,2,2,2,3,4,0,1,2,1,1,1,4,4,0,3.0,2,3,1,4,3
2,30.0,1,2,1,1,1,1000000.0,700000.0,800000.0,4.0,2,1,1,1,0,0,1,2,0,4,4,0,1,3,1,0,2,2,3,1,3.0,2,3,0,2,1
2,47.0,0,1,1,1,2,160000.0,20000.0,40000.0,4.0,2,2,1,1,1,2,1,2,0,3,4,0,1,3,1,0,2,2,2,1,3.0,2,3,1,2,1
0,36.0,1,1,3,0,2,1000.0,5000.0,9000.0,5.0,2,1,0,1,0,0,2,2,2,3,4,0,1,3,1,1,2,2,1,0,2.0,2,3,1,2,1
2,39.0,1,2,1,0,2,2100000.0,19800000.0,25000000.0,11.0,2,1,1,1,1,0,1,2,1,2,3,0,1,0,1,0,2,2,1,1,3.0,2,3,1,2,1
0,42.0,0,2,1,2,0,780.0,5000.0,7500.0,9.0,2,2,2,1,1,0,1,2,2,4,1,0,1,3,1,1,2,1,1,0,7.0,1,2,1,2,1
2,28.0,1,1,1,0,0,10000.0,10000.0,20000.0,4.0,2,1,1,1,1,2,2,2,0,2,2,0,1,2,0,0,2,2,2,0,3.0,2,3,1,2,1
1,23.0,0,1,1,0,2,2500.0,97.0,97.0,2.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,0,1,2,2,2,0,3.0,2,3,0,1,2
2,34.0,0,2,1,0,0,85000.0,150000.0,20000.0,2.0,2,1,1,1,1,0,2,2,0,2,2,0,1,3,1,1,2,2,2,1,3.0,2,3,1,2,1
0,59.0,2,1,1,2,2,500.0,1200.0,2000.0,20.0,2,1,2,1,0,2,1,2,3,3,4,0,1,3,1,1,2,2,2,0,5.0,2,3,1,2,1
2,45.0,1,1,1,1,1,700000.0,200000.0,440000.0,22.0,2,2,1,0,1,0,2,2,1,3,4,1,1,3,0,1,2,2,2,0,3.0,2,3,1,2,1
3,68.0,2,2,1,0,0,130.0,840.0,1560.0,4.0,2,1,2,0,0,2,1,2,0,1,0,0,1,3,1,1,2,2,2,0,0.0,2,3,1,2,1
2,38.0,2,1,1,1,0,200000.0,20000.0,1800000.0,1.0,2,2,2,0,1,2,1,2,0,2,4,0,1,3,0,0,2,2,2,1,3.0,2,3,1,2,1
1,46.0,2,1,1,2,2,3000.0,300.0,3000.0,1.0,2,1,2,1,0,2,2,2,0,3,4,0,0,3,0,1,2,2,2,0,3.0,2,3,1,3,2
1,81.0,2,1,3,0,2,8000.0,5000.0,8000.0,40.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,0,1,3,3,1,0,3.0,2,3,0,3,2
1,52.0,2,2,1,2,2,1000.0,220.0,500.0,3.0,2,1,2,1,0,2,2,2,0,3,4,0,0,3,0,1,2,2,2,0,3.0,2,3,1,3,2
1,70.0,2,1,1,1,1,900.0,250.0,4000.0,31.0,2,1,2,1,0,2,2,2,0,3,4,0,2,3,0,1,3,3,1,0,3.0,2,3,1,3,2
3,20.0,2,2,1,1,2,100.0,360.0,480.0,1.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,1,1,2,2,2,0,0.0,2,3,1,2,1
3,42.0,2,1,1,1,1,100.0,480.0,720.0,4.0,2,1,2,1,0,0,1,2,3,3,3,0,2,3,1,1,2,2,2,0,4.0,2,3,1,2,1
3,42.0,2,1,1,0,2,60.0,1800.0,90000.0,8.0,2,1,2,1,0,2,2,2,0,1,4,0,1,3,1,1,2,2,2,0,0.0,2,3,1,2,1
0,54.0,2,1,3,2,2,4000.0,35000.0,85000.0,10.0,2,1,2,1,1,1,2,2,2,3,4,0,1,3,1,1,1,2,2,0,2.0,2,2,1,2,1
2,38.0,0,2,1,2,2,100000.0,45000.0,60000.0,2.0,2,1,1,1,0,0,1,2,0,3,3,0,1,0,0,0,2,2,2,1,3.0,2,3,0,2,1
0,62.0,2,2,1,1,2,2100.0,1140.0,36620.0,15.0,2,1,2,1,0,2,1,2,3,4,3,0,1,3,1,1,2,2,2,0,5.0,2,3,1,2,1
1,61.0,2,1,1,0,2,2500.0,100.0,500.0,25.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,1,1,2,2,2,1,3.0,2,3,1,2,2
3,46.0,2,1,1,1,2,150.0,240.0,1800.0,10.0,2,1,2,0,1,0,1,2,2,3,4,0,2,3,1,1,2,2,2,0,0.0,2,2,1,2,1
3,35.0,2,1,1,1,2,200.0,36000.0,36000.0,1.0,2,1,2,0,0,2,2,2,3,3,4,0,1,3,1,1,2,2,2,1,0.0,2,3,1,2,1
0,37.0,2,1,1,1,2,2500.0,15000.0,25000.0,7.0,2,2,2,1,0,0,1,2,3,4,4,0,1,3,1,1,2,2,2,0,3.0,2,2,1,2,1
0,40.0,2,2,1,2,1,3700.0,520.0,950.0,2.0,2,1,2,1,0,2,2,2,0,4,3,0,0,3,1,1,2,2,2,0,0.0,2,3,1,1,1
3,53.0,2,1,1,0,0,450.0,2400.0,1800.0,3.0,2,1,2,1,1,2,1,2,0,1,3,0,1,3,1,1,2,2,2,0,0.0,2,3,1,2,1
0,45.0,2,2,1,2,2,8000.0,13500.0,24000.0,4.0,2,4,2,1,1,2,2,2,3,3,4,0,1,2,1,1,2,2,2,0,0.0,2,3,1,2,1
3,78.0,2,2,1,2,1,50.0,3000.0,6000.0,6.0,2,1,2,1,1,2,1,2,0,4,3,0,1,3,1,1,2,2,2,0,0.0,2,2,1,2,1
0,43.0,2,1,1,1,1,1000.0,5000.0,9200.0,3.0,2,2,2,1,1,0,1,2,2,3,3,0,2,3,1,1,2,2,2,0,10.0,2,3,1,2,1
1,47.0,2,1,1,0,2,2000.0,450.0,600.0,5.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,1,1,2,2,2,1,3.0,2,3,0,3,2
1,18.0,2,2,1,0,2,240.0,260.0,500.0,2.0,2,1,2,1,0,2,2,2,0,3,4,0,0,3,0,1,2,2,2,0,3.0,2,3,1,2,2
2,30.0,0,1,1,0,2,390000.0,1270000.0,6040000.0,11.0,2,3,1,1,1,2,2,2,1,3,4,0,1,3,1,0,2,2,2,1,3.0,2,3,0,2,1
2,32.0,0,1,1,1,1,420000.0,15000.0,5040000.0,8.0,2,2,2,1,0,2,2,2,0,3,4,0,1,3,1,1,2,2,1,1,3.0,2,3,1,2,1
2,35.0,0,1,1,0,0,440000.0,190000.0,4850000.0,5.0,2,2,1,1,1,0,1,2,0,2,2,0,1,3,0,0,2,2,2,1,3.0,2,3,1,2,1
1,61.0,2,1,1,0,0,2000.0,1055.0,1000.0,15.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,1,1,2,2,2,0,3.0,2,3,1,1,2
3,38.0,2,1,1,1,2,700.0,2400.0,6000.0,3.0,2,1,2,1,0,0,1,2,0,3,4,0,1,3,1,1,2,2,2,1,0.0,2,3,1,2,1
0,62.0,2,1,3,1,1,13000.0,270000.0,360000.0,8.0,2,1,0,1,1,0,1,2,2,3,4,0,1,3,1,1,2,1,2,0,5.0,2,2,1,2,1
0,43.0,2,2,1,2,1,2000.0,8640.0,5114.0,1.0,2,1,0,1,0,1,2,2,3,3,4,0,0,3,1,1,2,2,1,0,10.0,2,3,1,2,1
0,62.0,2,2,1,1,2,3000.0,1300.0,3000.0,30.0,2,2,2,1,0,2,2,2,0,3,4,0,1,3,1,1,2,2,2,0,6.0,2,2,1,1,1
1,25.0,1,1,3,0,2,97.0,97.0,97.0,3.0,2,1,2,1,0,2,2,2,0,3,4,0,0,3,0,1,2,2,2,0,3.0,2,3,0,2,2
1,41.0,1,2,1,2,2,250.0,200.0,250.0,2.0,2,1,2,1,0,2,2,2,0,3,4,0,1,2,1,1,2,2,2,0,3.0,2,3,1,1,2
0,34.0,1,2,3,1,2,1000.0,870.0,900.0,4.0,2,1,0,1,0,2,1,2,0,4,4,0,1,3,1,1,2,2,2,0,10.0,2,2,1,2,1
2,61.0,2,1,1,1,2,800000.0,420000.0,9600000.0,10.0,2,1,1,1,1,2,2,2,1,3,4,0,1,3,1,1,2,2,2,1,3.0,2,3,0,2,1
1,35.0,0,2,1,0,0,600.0,240.0,360.0,1.0,2,1,2,1,0,2,2,2,0,3,4,0,0,0,0,1,3,3,3,0,3.0,2,3,0,3,0
2,30.0,1,2,1,1,1,400000.0,1800000.0,4800000.0,3.0,2,1,2,1,1,2,1,2,0,4,4,0,1,3,0,0,2,2,2,0,3.0,2,3,1,1,1
2,30.0,2,1,1,1,0,750000.0,144000.0,750000.0,2.0,2,2,1,0,1,0,1,2,0,2,2,0,1,3,0,0,2,2,2,0,3.0,2,3,1,2,1
0,30.0,1,1,1,1,1,10000.0,25000.0,40000.0,2.0,1,2,0,1,1,2,1,2,2,3,4,1,1,3,1,1,2,2,2,0,11.0,1,3,1,2,1
0,32.0,2,1,1,1,2,1500.0,700.0,1500.0,0.0,2,2,2,1,0,2,1,2,3,4,4,0,0,3,1,1,2,2,2,0,5.0,2,3,1,4,1
0,45.0,2,1,1,1,2,7500.0,13500.0,252000.0,2.0,2,1,2,1,1,0,1,1,2,3,4,0,0,3,1,1,4,2,1,0,2.0,2,3,1,2,1
0,51.0,2,1,1,0,1,14000.0,35000.0,2800.0,0.0,2,2,0,1,0,2,2,2,3,4,4,0,0,3,1,1,4,2,2,0,10.0,2,2,1,2,1
0,60.0,2,1,1,1,2,5500.0,5000.0,7000.0,18.0,2,1,2,1,1,0,2,2,2,0,4,0,1,3,1,1,2,2,1,0,8.0,2,2,1,1,1
3,32.0,2,2,1,2,1,70.0,240.0,1200.0,4.0,2,1,2,1,0,0,1,2,0,4,3,0,1,3,1,1,2,2,2,0,2.0,2,3,1,2,1
2,36.0,0,1,1,1,2,300000.0,60000.0,40000.0,3.0,1,1,1,0,1,2,1,1,1,3,4,0,1,3,0,0,2,2,1,0,3.0,2,3,0,2,1
0,38.0,1,2,1,2,2,5000.0,1000.0,2300.0,3.0,2,2,0,1,1,0,1,2,2,3,4,0,2,3,1,1,2,2,2,0,0.0,2,3,1,2,1
1,57.0,1,2,1,0,2,5000.0,700.0,180.0,2.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,0,1,2,2,2,0,3.0,2,3,0,3,2
1,35.0,1,2,1,1,0,700.0,1300.0,750.0,2.0,2,1,2,1,0,2,2,2,0,3,4,0,1,0,1,1,2,2,2,1,3.0,2,3,0,3,2
2,21.0,2,1,1,0,1,60000.0,32000.0,720000.0,2.0,2,2,1,1,1,2,2,2,0,2,2,0,1,3,1,0,2,2,2,1,3.0,2,3,0,2,1
0,35.0,2,2,1,1,2,600.0,500.0,850.0,0.0,2,2,2,1,0,2,2,2,3,3,4,0,0,3,1,1,2,2,2,0,5.0,2,3,1,2,1
1,47.0,2,1,1,1,2,3000.0,40.0,4500.0,2.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,0,1,2,2,2,0,3.0,2,3,1,3,2
2,44.0,0,2,1,0,2,90000.0,18000.0,35000.0,5.0,2,1,1,1,1,2,1,2,1,2,4,0,1,3,1,0,2,2,2,1,3.0,2,3,1,2,1
1,58.0,1,2,1,0,2,97.0,97.0,97.0,10.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,1,1,2,2,2,0,3.0,2,3,1,1,2
3,33.0,2,1,1,0,2,100.0,1800.0,3000.0,0.0,2,1,2,1,0,2,2,2,0,1,3,0,1,3,1,1,2,2,2,0,10.0,1,3,1,2,1
3,67.0,2,1,1,2,2,125.0,5000.0,5000.0,1.0,1,1,2,1,1,0,2,2,3,4,3,0,2,3,1,1,2,2,2,0,0.0,1,2,1,2,1
1,39.0,2,1,1,1,2,97.0,97.0,97.0,10.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,0,1,2,2,2,0,3.0,2,3,0,3,2
2,45.0,0,1,1,0,0,100000.0,66000.0,384000.0,24.0,2,2,1,0,1,2,1,2,0,2,2,0,1,3,1,0,2,2,2,0,3.0,2,3,1,2,1
2,33.0,1,2,1,0,2,475000.0,3800000.0,5400000.0,3.0,2,1,1,1,1,2,2,2,0,2,4,0,1,3,0,0,2,2,1,1,3.0,2,3,1,2,1
